TF	len(totalGenes)	len(deGenes)	B1	B1Gene	B2	B2Gene	Ratio	Pval
Elf5	718	60	39	Gprc5a,Sema3e,Icam2,Slc9a3r2,Dsp,Dsc2,Tgm1,Mgam,Hpn,Hc,Cpn1,Afm,Xylb,Cdh1,Pdzk1,Slc27a2,Gc,Flrt1,Proc,Glyat,Cryz,Mthfd1,Aldh8a1,Acsm1,Krt8,Hgd,Hoga1,Pbld1,Bmp7,Fga,Kng1,Pah,Igfbp1,Pcbd1,Khk,Fbp1,Bhmt2,Aldob,Hrsp12	11	Mthfd1,Aldh8a1,Acsm1,Hgd,Hoga1,Pbld1,Fga,Khk,Fbp1,Bhmt2,Aldob	4.30833333333333	0.000453114699664848
Irf6	718	60	46	Fam49b,Ldhb,Dsp,Dsc2,Mgam,Eps8l2,Hpn,Dsg2,Lsr,Hgfac,Krt14,Krt15,Krt10,Afm,Xylb,Pcsk9,Cdh1,Pdzk1,Dpp4,Slc27a2,C8a,Flrt1,Proc,Pigr,Glyat,Cryz,Aldh8a1,Krt5,Acsm1,Krt8,Treh,Ttr,Hgd,Krt18,Pbld1,Bmp7,Akr1d1,Fga,Kng1,Pah,Igfbp1,Pcbd1,Khk,Fbp1,Bhmt2,Aldob	9	Aldh8a1,Acsm1,Hgd,Pbld1,Fga,Khk,Fbp1,Bhmt2,Aldob	2.66756756756757	0.0281408301257481
Arx	718	60	8	Prss35,Rarres2,Lbp,Chid1,Krt79,Erp44,Orm1,Hp	0		0	1
Cited1	718	60	3	Prss35,Qpct,Cp	0		0	1
Dmrt1	718	60	1	Prss35	0		0	1
Dmrta1	718	60	4	Prss35,Nt5e,Nt5c,Cdh1	0		0	1
Dnajb6	718	60	0		0		100	1
Egr4	718	60	0		0		100	1
Figla	718	60	3	Prss35,Vps26a,Greb1	0		0	1
Irx3	718	60	47	Ltbp1,Aebp1,Cryab,Col3a1,Col5a2,Serpinb9,Sema3e,Icam2,Fstl1,Col4a1,Tgfb2,Ltbp2,Col6a1,Slc9a3r2,Pdgfb,Pcolce,Bgn,Nenf,Procr,Ppic,Cxcl12,Efemp1,Olfml3,Ptprg,Pxdn,Serpinh1,Vasn,Htra1,Adamts1,Sparc,Fst,Col4a2,Ctgf,Col4a5,Postn,Ppa2,Cyr61,Igfbp6,Mmp2,Atp1a1,Pon1,Igfbp3,Fasn,Krt79,Col1a2,Col1a1,Actc1	1	Fasn	0.238405797101449	0.166028114891075
Lbx2	718	60	4	Prss35,Greb1,Tuba4a,Krt79	0		0	1
Lhx8	718	60	11	Prss35,Rab2a,Vcam1,S100a6,Vps26a,Ltbp2,Greb1,Lgals1,Ccl2,Adm,Saa3	0		0	0.613299656314104
Lhx9	718	60	4	Prss35,Greb1,Col12a1,Tuba4a	0		0	1
Mael	718	60	1	Prss35	0		0	1
Nobox	718	60	2	Greb1,Pcsk6	0		0	1
Npas3	718	60	7	Dsg2,Mmp14,Cntn1,A2m,Krt18,Clu,Vnn1	0		0	1
Nr4a1	718	60	7	Pcnt,Coasy,Iah1,Glod4,Pgrmc1,Aldh9a1,Akr1a1	1	Aldh9a1	1.82777777777778	0.460926998791185
Nr5a1	718	60	2	Prss35,Greb1	0		0	1
Runx1	718	60	14	Csk,Ahnak,Shisa5,Iqgap1,Rac2,Ifnar2,Fst,Clic1,Cd44,Myh9,Arpc1b,Lcp1,Il16,Abat	0		0	0.61935056775045
Sohlh1	718	60	1	Prss35	0		0	1
Sohlh2	718	60	0		0		100	1
Tcfl5	718	60	2	Col12a1,Igfbp2	0		0	1
Wt1	718	60	2	Prss35,Greb1	0		0	1
Zbtb8b	718	60	6	Prss35,Eps8l2,Hgfac,Bmp7,Pcbd1,Dak	1	Dak	2.19333333333333	0.411403726089773
Zfp105	718	60	1	Prss35	0		0	1
Ets1	718	60	20	Dpysl3,Serpinb9,Icam2,Csk,Nrp1,Anxa3,Slc9a3r2,Shisa5,Anxa6,Rac2,Cnn2,Ifnar2,St6gal1,Ngf,Myh9,Psme1,Lcp1,Il16,Ywhah,B2m	0		0	0.396502119772841
Lcor	718	60	0		0		100	1
Prop1	718	60	0		0		100	1
Zbtb6	718	60	0		0		100	1
Zfp148	718	60	0		0		100	1
Zfp451	718	60	0		0		100	1
Zkscan1	718	60	0		0		100	1
Alx1	718	60	0		0		100	1
Atoh8	718	60	0		0		100	1
Cebpa	718	60	50	C1qb,Fam20c,4930486L24Rik,Anxa3,Lpl,Pon3,Lyz2,Anpep,Xdh,Lipa,Adam15,Fth1,Smoc1,App,Lgmn,Tpp1,C1ra,Gm6484,Angptl4,Gm2a,Grn,Hbegf,Rarres2,Atp6ap2,Igf1,Myh11,Cd14,Gda,Lrg1,Gamt,Cp,Snrpd3,Igfbp6,C4b,Mmp12,Trf,Fasn,Rnase4,Orm1,Ctsb,Taldo1,C3,Lgals9,Rbp4,Hp,Clu,Ctsl,Akr1a1,Apoc1,Dbi	1	Fasn	0.223809523809524	0.169701239781316
Creb3l4	718	60	18	C1qb,Ckb,Fam20c,Pgm1,Lpl,Fabp4,Anpep,Xdh,Lipa,Qpct,Igf1,Nt5c,Gamt,Mmp12,Thbs1,Ctsb,Esd,Ctsl	0		0	0.387501293412469
Dlx1	718	60	6	Nrg3,Dpysl3,4930486L24Rik,Ube2n,Qpct,Flrt1	0		0	1
Dlx6	718	60	0		0		100	1
Dmrtb1	718	60	0		0		100	1
Dmrtc2	718	60	0		0		100	1
Ebf1	718	60	24	Aebp1,Ccdc80,Cryab,Col5a2,Col6a1,Acot7,Ppic,Man1a,Fbln2,Arpc5l,Ggh,Ctla2a,Igf1,Iqgap2,Lamc1,Nid1,Gpd1l,Lox,Lipc,Pigr,Galm,Gsn,Haao,Col1a1	2	Gsn,Haao	0.996969696969697	1
Egr2	718	60	6	Abi1,Gltp,Rap1b,Shisa5,Sh3bgrl3,Cd44	0		0	1
Esx1	718	60	59	F12,F9,Apoh,C8g,Fgl1,Hpx,Masp1,Fetub,F5,Apcs,Pkm,1300017J02Rik,Apoa5,C8a,Hrg,Angptl3,C9,Itih1,Mup10,Lipc,Proc,Serpind1,Plg,Pzp,Cpb2,F10,Glyat,Orm1,Fgg,Apon,Serpinf2,Dpys,Orm2,F2,Aldh8a1,Mug1,Sod2,Itih3,Acsm1,Lcat,Apoc4,Apof,Fgb,Ftcd,Hgd,Ces1c,Hoga1,Azgp1,Mup3,Akr1d1,Fga,Haao,Kng1,Serpinc1,Igfbp1,Itih2,Bhmt2,Serpina3k,Apoa2	12	Dpys,Aldh8a1,Acsm1,Lcat,Ftcd,Hgd,Hoga1,Fga,Haao,Bhmt2,Serpina3k,Apoa2	2.8	0.00767232339116678
Foxq1	718	60	48	Fam49b,Tgm1,Mgam,Eps8l2,Hpn,Ndrg1,Dsg2,Lsr,Tcn2,Qpct,Afm,Xylb,Cdh1,Pdzk1,Gss,Slc27a2,C8a,Cryl1,Gc,Flrt1,Pm20d1,Pck1,Proc,Pigr,Glyat,Krt79,Cryz,Mthfd1,Aldh8a1,Acsm1,Treh,Hgd,Pbld1,Gpd1,Akr1d1,Fga,Haao,Kng1,Pah,Igfbp1,Pcbd1,Khk,Aldh1l1,Abhd14b,Fbp1,Bhmt2,Aldob,Hrsp12	14	Mthfd1,Aldh8a1,Acsm1,Hgd,Pbld1,Gpd1,Fga,Haao,Khk,Aldh1l1,Abhd14b,Fbp1,Bhmt2,Aldob	4.5156862745098	6.25379630302218e-05
Gata1	718	60	1	Itih5	0		0	1
Gsc2	718	60	0		0		100	1
Gtf2a1l	718	60	0		0		100	1
Hils1	718	60	0		0		100	1
Hmx1	718	60	0		0		100	1
Hoxa4	718	60	1	Actc1	0		0	1
Hsf5	718	60	0		0		100	1
Irf8	718	60	10	Pfn2,Lyn,Rac2,Cdh2,Gm2a,Gamt,Cp,Ostf1,Lcp1,Ctsc	0		0	1
Klf12	718	60	21	Gltp,Vasp,Iqgap1,Phgdh,Sh3bgrl3,Cdh2,Clic1,Arpc1b,C8a,Serpind1,Fasn,Cpb2,Dpys,Apof,Rbp4,Tkt,Ywhab,Got1,Itih2,Apoc1,Hrsp12	3	Fasn,Dpys,Got1	1.82777777777778	0.412646036911824
Klf17	718	60	0		0		100	1
Mesp1	718	60	0		0		100	1
Mlxipl	718	60	11	Lrrc16a,4930486L24Rik,Lgmn,C1ra,Gm2a,Qpct,Myh11,Cp,Igfbp6,Des,Clu	0		0	0.613299656314104
Mxi1	718	60	4	Vcam1,Atxn10,Qpct,Gpd1	1	Gpd1	3.65555555555556	0.298023046459023
Ncoa2	718	60	1	Ppt1	0		0	1
Nkx3-1	718	60	7	4930486L24Rik,Edn1,Fgl1,Qpct,Cp,Flrt1,Galm	0		0	1
Onecut3	718	60	0		0		100	1
Osr2	718	60	13	Gna11,Pcsk5,Anpep,Mgam,Atxn10,C1ra,Myh11,Gamt,Cp,Igfbp6,Flrt1,Rdx,Paics	0		0	0.61498086763534
Pbx2	718	60	0		0		100	1
Pbx4	718	60	0		0		100	1
Pou6f1	718	60	0		0		100	1
Prox2	718	60	0		0		100	1
Rfx2	718	60	0		0		100	1
Rfx4	718	60	17	F12,Apoa5,Angptl3,C9,Mup10,Glyat,Dpys,Aldh8a1,Mug1,Nqo2,Apoc4,Hgd,Ces1c,Mup3,Akr1d1,Haao,Bhmt2	5	Dpys,Aldh8a1,Hgd,Haao,Bhmt2	4.56944444444444	0.0124367865801107
Rfx8	718	60	0		0		100	1
Sap30l	718	60	0		0		100	1
Smad4	718	60	29	Lipa,F12,F9,Apoh,C8g,Hpx,1300017J02Rik,C8a,Angptl3,C9,Itih1,Serpind1,Plg,Pzp,Cpb2,Fgg,Serpinf2,Dpys,F2,Aldh8a1,Itih3,Lcat,Apof,Ftcd,Hgd,Aldh7a1,Fga,Kng1,Apoa2	8	Dpys,Aldh8a1,Lcat,Ftcd,Hgd,Aldh7a1,Fga,Apoa2	4.17777777777778	0.00283581816912325
Sox30	718	60	0		0		100	1
Sox8	718	60	7	Anxa7,4930486L24Rik,Gm2a,Qpct,Cp,A2m,Aldoc	0		0	1
Sox9	718	60	20	Pdgfc,Ccdc80,Col3a1,Col5a2,Fstl1,Vcan,Oaf,Prss23,Col12a1,Fat1,Serpinh1,Vasn,Bmp1,Fbln2,Mmp14,Gamt,Flrt1,Tsta3,Col1a2,Col1a1	0		0	0.396502119772841
Spata24	718	60	2	Cops8,Eps8l2	0		0	1
Spz1	718	60	0		0		100	1
Stat1	718	60	25	Shisa5,Xdh,Rac2,Lgmn,C1ra,Angptl4,Gm2a,Rarres2,Gda,Cp,Psme1,Ostf1,Igfbp6,Lcp1,Ctsc,Il16,Orm1,Orm2,Taldo1,4931406C07Rik,C3,Hp,B2m,Serpina3n,Dbi	1	Serpina3n	0.456944444444444	0.713367069909471
Stat5b	718	60	6	Ehd4,Stx7,Prcp,Ywhaq,Gpx1,Ppia	1	Gpx1	2.19333333333333	0.411403726089773
Tal2	718	60	15	Blvra,Gnpda1,Ralb,Pitpna,Olfml3,Adam15,Kera,Igf1,Cd14,Chid1,Gamt,Rnase4,Ctsb,Thbs4,C3	0		0	0.625545116102201
Tbx1	718	60	10	Glb1,Serpinb9,Sema3e,Icam2,Lmcd1,Slc25a5,Slc9a3r2,Kera,Fmod,Hspa1l	0		0	1
Tbx22	718	60	5	Vcam1,Ppt1,Qpct,Cp,Gpd1	1	Gpd1	2.74166666666667	0.357249317781291
Tcea2	718	60	0		0		100	1
Tnp1	718	60	0		0		100	1
Txk	718	60	5	Lyn,Nt5e,Rac2,Il16,Gpx1	1	Gpx1	2.74166666666667	0.357249317781291
Vdr	718	60	39	Chmp2b,Fstl1,Pgm1,Mgam,Atxn10,Itih5,Eps8l2,Cttn,Dsg2,Col4a2,Lbp,Afm,Xylb,Cdh1,Pdzk1,Gamt,Gss,Flrt1,Proc,Pigr,Pgrmc1,Glyat,Cryz,Mthfd1,Aldh8a1,Acy3,Acsm1,Treh,Hgd,Krt18,Pbld1,Kng1,Pcbd1,Dak,Clu,Abhd14b,Vnn1,Fbp1,Bhmt2	9	Mthfd1,Aldh8a1,Acsm1,Hgd,Pbld1,Dak,Abhd14b,Fbp1,Bhmt2	3.29	0.00585556847266628
Ybx2	718	60	0		0		100	1
Zbtb16	718	60	13	Vcam1,Col4a1,Ppt1,Col4a2,Qpct,Cdh13,Cp,Flrt1,Pgrmc1,Krt18,Gpd1,Khk,Vnn1	2	Gpd1,Khk	1.99393939393939	0.303460067051489
Zbtb3	718	60	0		0		100	1
Zbtb32	718	60	3	Acot7,Sdc1,Chid1	0		0	1
Zfp260	718	60	0		0		100	1
Zfp35	718	60	27	Mgam,Afm,Xylb,Pdzk1,Gss,Slc27a2,C8a,Apob,Cndp2,Flrt1,Proc,Pigr,Glyat,Cryz,Mthfd1,Serpinf2,Aldh8a1,Acsm1,Treh,Hgd,Pbld1,Akr1d1,Haao,Kng1,Khk,Bhmt2,Hrsp12	8	Mthfd1,Aldh8a1,Acsm1,Hgd,Pbld1,Haao,Khk,Bhmt2	4.61754385964912	0.001734369372489
Zfp39	718	60	0		0		100	1
Zfp541	718	60	0		0		100	1
Zfp574	718	60	0		0		100	1
Zfp687	718	60	0		0		100	1
Zfpm1	718	60	11	Lect2,F12,Agmat,Serpina11,Aldh16a1,Apoa4,Apoc4,Ces1c,Apoa1,Apoc3,Fabp1	2	Apoc3,Fabp1	2.43703703703704	0.238762932622809
Zfy2	718	60	0		0		100	1
Zscan2	718	60	0		0		100	1
Carm1	718	60	0		0		100	1
Ahr	718	60	5	Pros1,Ctsh,Tgm2,Krt5,Cat	0		0	1
Ahrr	718	60	27	C1qb,Icam2,Blvra,Fam20c,Pgm1,Lpl,Chmp4b,Fabp4,Serpinb6a,Dsp,Dsc2,Adam17,Lipa,Atxn10,Dsg2,Ctbs,Igf1,Ccl2,Cd14,Gamt,Dera,Mmp12,Thbs1,Crip2,Ctsb,Capza2,Esd	0		0	0.157427883864807
Ankrd1	718	60	17	Cryab,Myo1c,Serpinb9,Sema3e,Icam2,Pacsin3,Lmcd1,Ltbp2,Slc9a3r2,Dsc2,Cdh13,Lrg1,Des,Msn,Cfl2,Tkt,Actc1	0		0	0.386181571031542
Ar	718	60	8	Myo1c,Marcks,Lyn,Pla1a,C2,Gpld1,Krt79,Gpx1	1	Gpx1	1.56666666666667	0.506221011289447
Arntl2	718	60	4	Tgm1,Krt14,Krt15,Krt10	0		0	1
Barx2	718	60	5	Krt14,Krt15,Krt10,Krt1,Krt5	0		0	1
Bhlha9	718	60	0		0		100	1
Casz1	718	60	4	Plec,Des,Krt5,Ywhaq	0		0	1
Ciita	718	60	19	Csk,Grb2,Acot7,Lyn,Ppic,Cttn,Rac2,Man1a,Ctla2a,Iqgap2,Nid1,Actr2,Lcp1,Lipc,Pigr,Il16,Igfbp4,Haao,Ywhae	1	Haao	0.609259259259259	1
Dlx3	718	60	8	Tgm1,Il1f9,Krt14,Krt15,Krt79,Krt73,Krt1,Krt5	0		0	1
Dlx5	718	60	32	Serpinb9b,F12,F9,Cfi,Apoh,Krt14,Krt15,Krt10,Apcs,Mbl2,1300017J02Rik,C8a,Hrg,Itih1,Lipc,Proc,Plg,Glyat,Serpinf2,Krt1,F2,Krt5,Fgb,Ftcd,Hgd,Hoga1,Fga,Kng1,Serpinc1,Igfbp1,Bhmt2,Apoa2	6	Ftcd,Hgd,Hoga1,Fga,Bhmt2,Apoa2	2.53076923076923	0.0535947454691953
Ehf	718	60	42	Dsc2,Mgam,Atxn10,Eps8l2,Hpn,Dsg2,Hgfac,Krt14,Myh11,Cpn1,Afm,Xylb,Cdh1,Pdzk1,Slc27a2,Cryl1,Gc,Flrt1,Proc,Pigr,Glyat,Krt79,Aldh8a1,Acsm1,Krt19,Krt8,Treh,Ttr,Hgd,Hoga1,Pbld1,Bmp7,Fga,Kng1,Pah,Igfbp1,Pcbd1,Khk,Apoc1,Fbp1,Bhmt2,Aldob	10	Aldh8a1,Acsm1,Hgd,Hoga1,Pbld1,Fga,Khk,Fbp1,Bhmt2,Aldob	3.42708333333333	0.00306604990750129
Esr1	718	60	79	Pfkp,Itih5,Wars,F12,F9,Amy1,Serpina11,Pla1a,Apoh,C8g,Fgl1,Hpx,C2,Iigp1,Masp1,Fetub,Lbp,F5,Apcs,Pkm,1300017J02Rik,Apoa5,C8a,Prg4,Hrg,Angptl3,C9,Itih1,Mup10,Lipc,Proc,Serpind1,Plg,Pzp,Igfbp4,Cpb2,F10,Glyat,Agt,Orm1,Nit2,Fgg,Apon,Serpinf2,Dpys,Orm2,F2,Aldh8a1,Mug1,Pygl,Nqo2,Itih3,Acsm1,Lcat,Apoc4,Apof,Fgb,Ftcd,Hgd,Ces1c,Hoga1,Azgp1,Aldh7a1,Mup3,Akr1d1,Fga,Haao,Kng1,Serpinc1,Igfbp1,Itih2,Vnn1,Alb,Fbp1,Bhmt2,Serpina3k,Arg1,Apoa2,Hrsp12	16	Dpys,Aldh8a1,Pygl,Acsm1,Lcat,Ftcd,Hgd,Hoga1,Aldh7a1,Fga,Haao,Fbp1,Bhmt2,Serpina3k,Arg1,Apoa2	2.78518518518519	0.00189124014315806
Ets2	718	60	0		0		100	1
Foxn1	718	60	10	Tgm1,Il1f9,Krt14,Krt15,Krt10,Krt79,Krt2,Krt73,Krt1,Krt5	0		0	1
Gata3	718	60	16	Stx7,Myo1c,Sema3e,Icam2,Marcks,Lyn,Tgm1,Krt14,Krt15,Krt10,Cdh1,Krt79,Krt1,Krt5,Krt8,Actc1	0		0	0.633231474300285
Gata6	718	60	8	Ehd4,Dsp,Dsc2,Dpp7,Dsg2,Dera,Crip2,Acaa2	1	Acaa2	1.56666666666667	0.506221011289447
Grhl1	718	60	13	Tgm1,Angptl4,Krt14,Krt15,Krt10,Krt79,Orm1,Krt1,Orm2,Taldo1,Krt5,Hp,Apoc1	0		0	0.61498086763534
Grhl2	718	60	9	Arl3,Eps8l2,Dsg2,Lsr,Golm1,Krt14,Ccl20,Cdh1,Krt5	0		0	1
Hopx	718	60	15	Ehd4,Serpinb9,Sema3e,Icam2,Bcam,Slc9a3r2,Dsp,Dsc2,Dsg2,Krt14,Krt10,Krt79,Idh2,Crip2,Acaa2	1	Acaa2	0.783333333333333	1
Hoxa7	718	60	28	Nans,Tgm1,Itih5,Fam3c,Hpn,Lsr,Krt15,Pdzk1,C8a,Bbox1,Proc,Cryz,Serpinf2,Aldh8a1,Thbs4,Krt5,Acsm1,Shmt1,Comp,Treh,Hgd,Pbld1,Aldh7a1,Haao,Khk,Abhd14b,Bhmt2,Saa1	10	Aldh8a1,Acsm1,Shmt1,Hgd,Pbld1,Aldh7a1,Haao,Khk,Abhd14b,Bhmt2	6.09259259259259	9.34331080474935e-05
Hoxa9	718	60	16	Nans,Map2k1,Sri,Itih5,Fam3c,Ndrg1,Ifnar2,Golm1,C1qtnf3,Cryz,Cox5a,Thbs4,Krt18,Vnn1,Fbp1,Saa1	1	Fbp1	0.731111111111111	1
Hoxb3	718	60	10	Col4a1,Dsg2,Krt14,Krt10,Lbp,Krt5,Krt18,Pcbd1,Vnn1,Fbp1	1	Fbp1	1.21851851851852	0.585555024557153
Hoxb6	718	60	16	Bmp4,Dsp,Eps8l2,Ndrg1,Dsg2,Krt14,Tcn2,Krt15,Tinagl1,Lbp,C1qtnf3,Krt79,Krt5,Pcbd1,Clu,Vnn1	0		0	0.633231474300285
Hoxc10	718	60	11	Pacsin3,Lmcd1,Tax1bp3,Kera,Il1f9,Myh11,Clic4,Des,Fmod,Thbs4,Cfl2	0		0	0.613299656314104
Hoxc13	718	60	9	Il1f9,Krt14,Krt15,Krt10,Krt79,Krt2,Krt73,Krt1,Krt5	0		0	1
Hoxc4	718	60	37	Ltbp1,Pdgfc,Aebp1,Ccdc80,Col3a1,Dcn,Col5a2,Fstl1,Nid2,Col6a1,Nenf,Procr,Ppic,Efemp1,Olfml3,Pxdn,Serpinh1,Dsg2,Smoc1,Fst,Krt14,Krt15,Krt10,Nid1,C6,Postn,Ppa2,Igfbp6,Mmp2,Atp1a1,Krt79,Krt5,Rbp4,Lum,Got1,Col1a2,Col1a1	1	Got1	0.30462962962963	0.351922630114501
Hoxc6	718	60	32	Aebp1,Ccdc80,Col3a1,Dcn,Col5a2,Fstl1,Col4a1,Col6a1,Pcolce,Bgn,Cxcl12,Dsp,Dsc2,Hspg2,Pxdn,Serpinh1,Htra1,Dsg2,Lsr,Sparc,Fst,Krt14,Krt15,Krt10,Nid1,Ghr,Mmp2,Krt5,Lum,Serpinf1,Col1a2,Col1a1	0		0	0.100956042133628
Hoxc8	718	60	53	Ltbp1,Pdgfc,Aebp1,Ccdc80,Glb1,Col3a1,Dcn,Col5a2,Fstl1,Nid2,Pcsk5,Col4a1,Vps26a,Snx9,Gnpda1,Col6a1,Pcolce,Pdcd6,Bgn,Prss23,Ppic,Efemp1,Dsp,Anpep,Olfml3,Pxdn,Serpinh1,Vasn,Htra1,Pepd,Aprt,Smoc1,Sparc,Fst,Col4a2,Krt14,Krt15,Igf1,Nid1,Postn,Cdh1,Lta4h,Mmp2,Gnb1,Cndp2,Krt5,Glul,Rbp4,Bmp7,Lum,Got1,Col1a2,Col1a1	1	Got1	0.210897435897436	0.1129546352012
Hoxd8	718	60	50	Ehd4,Pdgfc,Kitl,Aebp1,Ccdc80,Col3a1,C1qb,Dcn,Col5a2,Ckb,Fstl1,Col4a1,Fam20c,Col6a1,Lpl,Pcolce,Bgn,Prss23,Fabp4,Serpinb6a,Ppic,Cxcl12,Dsp,Dsc2,Olfml3,Lipa,Adam15,Cfh,Serpinh1,Vasn,Htra1,Adamts1,Gpc4,Sparc,Fst,Col4a2,Igf1,Col4a5,Nid1,Cd14,Gamt,Ghr,Mmp2,Mmp12,Rnase4,Crip2,Ctsb,Lum,Col1a2,Col1a1	0		0	0.0263531229580209
Irf4	718	60	22	Pon3,Shisa5,Cttn,Rac2,Amy1,Smoc1,Gm6484,C6,Lrg1,Lcp1,Atp1a1,C4b,Pon1,Trf,Il16,Fasn,Shmt2,Orm1,Rbp4,Hp,Apoc1,Serpina3n	3	Fasn,Shmt2,Serpina3n	1.73157894736842	0.423396750976046
Irx2	718	60	13	Sema3e,Icam2,Pon3,Amy1,Krt14,Krt15,Krt10,Lrg1,Shmt2,Krt79,Krt1,Krt5,Rbp4	1	Shmt2	0.913888888888889	1
Irx4	718	60	11	Ehd4,Dsp,Dsc2,Dpp7,Dsg2,Krt14,Tg,Dera,Crip2,Krt5,Actc1	0		0	0.613299656314104
Klf5	718	60	15	Chmp2b,Gna11,Pgm1,Dsp,Eps8l2,Dsg2,Golm1,Krt14,Krt15,Krt10,Flnb,Cdh1,Krt5,Krt19,Krt8	0		0	0.625545116102201
Mbd1	718	60	11	Shisa5,Ifnar2,Angptl4,Myh11,Lcp1,Des,Il16,Orm1,Rab11b,Hp,Serpina3n	1	Serpina3n	1.09666666666667	1
Meox2	718	60	5	Bcam,Slc9a3r2,Hspb1,Igfbp6,Crip2	0		0	1
Mesp2	718	60	2	Myh10,Bbox1	0		0	1
Msx2	718	60	4	Krt14,Krt15,Krt10,Krt73	0		0	1
Myf6	718	60	24	Pacsin3,Lmcd1,Slc25a5,Pdcd6,Fabp4,Kera,Rarres2,Cacna2d1,Myh11,Cdh13,Lrg1,Chid1,Des,Pck1,Fmod,Myh3,Aldh9a1,Thbs4,Cfl2,Hspa1l,Ywhaq,Pgam1,Tpi1,Ppia	1	Aldh9a1	0.476811594202899	0.712711428603106
Nfe2l3	718	60	12	Dsp,Dsc2,Tgm1,Il1f9,Krt14,Krt15,Krt10,Krt79,Krt73,Krt1,Krt5,Bmp7	0		0	0.612818086770286
Nr2e3	718	60	13	Glb1,Gnpda1,Hexb,Fuca1,Aprt,Cotl1,St6gal1,Rarres2,Myh11,Lrg1,Lta4h,Bmp7,Actg2	0		0	0.61498086763534
Ovol1	718	60	43	Chmp2b,Gna11,Pgm1,Dsp,Dsc2,Tgm1,Mgam,Atxn10,Eps8l2,Hpn,Krt14,Afm,Scrn2,Xylb,Cdh1,Pdzk1,Slc27a2,C8a,Flrt1,Proc,Rdx,Paics,Glyat,Cryz,Mthfd1,Serpinf2,Aldh8a1,Krt5,Acsm1,Shmt1,Treh,Hgd,Pbld1,Bmp7,Akr1d1,Fga,Haao,Pah,Igfbp1,Khk,Fbp1,Bhmt2,Aldob	12	Mthfd1,Aldh8a1,Acsm1,Shmt1,Hgd,Pbld1,Fga,Haao,Khk,Fbp1,Bhmt2,Aldob	4.24516129032258	0.000293976885168431
Ovol2	718	60	8	Gna11,Dsg2,Lsr,Krt14,Krt15,Bbox1,Paics,Krt5	0		0	1
Pitx2	718	60	18	Pcsk5,Snx9,Pdcd6,Anpep,AU040320,Pepd,Kera,Clic4,Chid1,Lta4h,Cndp2,Myh3,Treh,Glul,Krt18,Tkt,Mdh2,Vnn1	1	Mdh2	0.645098039215686	1
Prdm1	718	60	6	Gltp,Vasp,Iqgap1,Tagln2,Ctsc,Pebp1	0		0	1
Rorc	718	60	0		0		100	1
Smyd1	718	60	10	Pacsin3,Rarres2,Pcnt,Myh11,Cdh13,Des,Pck1,Tkt,Ywhaq,Ppia	0		0	1
Sox21	718	60	3	Krt14,Krt1,Krt5	0		0	1
Sp6	718	60	0		0		100	1
Tfap2a	718	60	10	Tgm1,Il1f9,Krt14,Krt15,Krt10,Krt79,Krt2,Krt73,Krt1,Krt5	0		0	1
Tfap2b	718	60	48	Dsp,Tgm1,Mgam,Eps8l2,Hpn,Dsg2,Hgfac,Krt14,Krt15,Krt10,Cpn1,Afm,Xylb,Cdh1,Pdzk1,Gss,Slc27a2,C8a,Cryl1,Gc,Flrt1,Proc,Pigr,Glyat,Krt79,Cryz,Krt1,Aldh8a1,Krt5,Acsm1,Krt8,Treh,Ttr,Hgd,Hoga1,Pbld1,Bmp7,Akr1d1,Fga,Haao,Kng1,Pah,Igfbp1,Pcbd1,Khk,Fbp1,Bhmt2,Aldob	11	Aldh8a1,Acsm1,Hgd,Hoga1,Pbld1,Fga,Haao,Khk,Fbp1,Bhmt2,Aldob	3.26036036036036	0.00275364023515934
Tfap2c	718	60	7	Dsp,Tgm1,Krt14,Krt15,Krt10,Krt1,Krt5	0		0	1
Tfap2e	718	60	12	Tgm1,Dsg2,Il1f9,Krt14,Krt15,Krt10,Cdh1,Bbox1,Krt79,Krt1,Krt5,Apoc1	0		0	0.612818086770286
Trp63	718	60	11	Dsp,Tgm1,Il1f9,Krt14,Krt15,Krt10,Ezr,Krt79,Krt73,Krt1,Krt5	0		0	0.613299656314104
Trp73	718	60	3	Tgm1,Krt15,Apoc1	0		0	1
Zfp28	718	60	0		0		100	1
Zfp639	718	60	13	Fam49b,Slc25a5,Mgam,Eps8l2,Dsg2,Hgfac,Gyk,Pm20d1,Ezr,Pigr,Galm,Abhd14b,Aldob	2	Abhd14b,Aldob	1.99393939393939	0.303460067051489
Zfp750	718	60	10	Dsp,Tgm1,Il1f9,Krt14,Krt15,Krt10,Krt79,Krt1,Krt5,Apoc1	0		0	1
Hoxd10	718	60	24	Nans,Map2k1,Sri,Mgam,Itih5,Hpn,Golm1,Afm,Xylb,Cdh1,Pdzk1,Slc27a2,C1qtnf3,Des,Flrt1,Glyat,Cryz,Thbs4,Krt8,Kng1,Pcbd1,Fbp1,Bhmt2,Saa1	2	Fbp1,Bhmt2	0.996969696969697	1
