"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:1901293"	"nucleoside phosphate biosynthetic process"	"19/129"	"265/23973"	3.05528575785994e-16	5.15845920978213e-15	2.09419831628099e-16	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
"GO:0030801"	"positive regulation of cyclic nucleotide metabolic process"	"13/129"	"79/23973"	3.33766633166142e-16	5.50714944724133e-15	2.23575735135214e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	13
"GO:0006793"	"phosphorus metabolic process"	"54/129"	"3115/23973"	3.42504327790758e-16	5.52573648835755e-15	2.2433031995652e-16	"Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Macf1/Acp1/Acp2/Acp5/Chrna7/Adipoq/Actc1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Ager/Angpt1/Ang/Dusp2/Cd40/Atf7ip"	54
"GO:0042327"	"positive regulation of phosphorylation"	"27/129"	"686/23973"	3.93274824042017e-16	6.20690265770662e-15	2.51983868951407e-16	"Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcyap1/Adnp/Adora1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40"	27
"GO:0030802"	"regulation of cyclic nucleotide biosynthetic process"	"14/129"	"104/23973"	4.37476524241914e-16	6.68500448612822e-15	2.71393541556604e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	14
"GO:0048584"	"positive regulation of response to stimulus"	"36/129"	"1347/23973"	4.41983767677899e-16	6.68500448612822e-15	2.71393541556604e-16	"Ldlrap1/Abl1/Abl2/Ace/Macf1/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam17/Adam8/Adcyap1/Cfd/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Cenpj/Cd40/Cd40lg/A2m"	36
"GO:0030819"	"positive regulation of cAMP biosynthetic process"	"12/129"	"61/23973"	4.86849821282836e-16	7.21332592349671e-15	2.92841997764112e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	12
"GO:0007275"	"multicellular organismal development"	"63/129"	"4246/23973"	5.30372932279999e-16	7.70101497670559e-15	3.12640886396631e-16	"Re/Asl/Pzp/Aatk/Abi1/Abl1/Abl2/Acadm/Asic2/Ace/Macf1/Aco1/Acp2/Acp5/Chrna1/Chrna7/Chrnb2/Chrnd/Adipoq/Acta1/Actb/Actc1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam15/Adam17/Adam19/Adam22/Adam8/Adamts1/Adcy6/Adcyap1/Adcyap1r1/Add1/Add2/Adm/Adnp/Adora2a/Adora2b/Adra1b/Adra1a/Adra2b/Adra2c/Adrb1/Adrb2/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Cd40/Cd40lg/Taf10/Sap30"	63
"GO:1900371"	"regulation of purine nucleotide biosynthetic process"	"14/129"	"108/23973"	7.5509982180964e-16	1.07490680516431e-14	4.36383797949843e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	14
"GO:0030808"	"regulation of nucleotide biosynthetic process"	"14/129"	"109/23973"	8.62489680482164e-16	1.20416828467318e-14	4.88860547641712e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	14
"GO:0045777"	"positive regulation of blood pressure"	"11/129"	"47/23973"	1.04801432391987e-15	1.43381354460332e-14	5.82090463228836e-16	"Ace/Chrna7/Adipoq/Adh5/Adora1/Adra1b/Adra1a/Adra1d/Adra2b/Adrb1/Adrb2"	11
"GO:0030817"	"regulation of cAMP biosynthetic process"	"13/129"	"86/23973"	1.06647288441569e-15	1.43381354460332e-14	5.82090463228836e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	13
"GO:0030816"	"positive regulation of cAMP metabolic process"	"12/129"	"67/23973"	1.63111660003277e-15	2.15307391204326e-14	8.7409119236206e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	12
"GO:0046058"	"cAMP metabolic process"	"14/129"	"115/23973"	1.86389853001422e-15	2.41641130855415e-14	9.80999226323274e-16	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adm/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	14
"GO:0048856"	"anatomical structure development"	"63/129"	"4377/23973"	2.37299965380793e-15	3.02245219063957e-14	1.22703583207058e-15	"Re/Asl/Aatk/Abi1/Abl1/Abl2/Acadm/Asic2/Ace/Macf1/Acp2/Acp5/Chrna1/Chrna7/Chrnb1/Chrnb2/Chrnd/Adipoq/Acta1/Actb/Actc1/Actg1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam15/Adam17/Adam19/Adam22/Adam8/Adam9/Adamts1/Adcy6/Adcyap1/Add1/Add2/Adm/Adnp/Adora2a/Adora2b/Adra1b/Adra1a/Adra2b/Adra2c/Adrb1/Adrb2/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Cd40/Cd40lg/Taf10/Sap30"	63
"GO:0051050"	"positive regulation of transport"	"26/129"	"679/23973"	2.85905638458027e-15	3.57874988828496e-14	1.45287801757255e-15	"Ldlrap1/Abca1/Abcg1/Abl1/Abl2/Asic2/Chrna4/Chrna6/Chrnb2/Adipoq/Actn2/Acvr2a/Adam9/Adcyap1/Adcyap1r1/Add1/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adrb1/Adrb2/Ager/Angpt1/Ang"	26
"GO:0030799"	"regulation of cyclic nucleotide metabolic process"	"14/129"	"120/23973"	3.42722088147578e-15	4.2172243389007e-14	1.71208179627693e-15	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	14
"GO:1901137"	"carbohydrate derivative biosynthetic process"	"23/129"	"505/23973"	3.58120240333295e-15	4.33325490803287e-14	1.75918714549689e-15	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Parp1/Parp2/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Acan/Angpt1"	23
"GO:0045981"	"positive regulation of nucleotide metabolic process"	"13/129"	"96/23973"	4.72761298642675e-15	5.535882303461e-14	2.24742213276654e-15	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	13
"GO:1900544"	"positive regulation of purine nucleotide metabolic process"	"13/129"	"96/23973"	4.72761298642675e-15	5.535882303461e-14	2.24742213276654e-15	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	13
"GO:0042391"	"regulation of membrane potential"	"20/129"	"355/23973"	4.92960678434642e-15	5.68078496100873e-14	2.30624878799832e-15	"Asic2/Asic1/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Actn2/Adam22/Adcyap1/Adora1/Adora2a/Adra1a/Adrb1/Adrb2"	20
"GO:0048519"	"negative regulation of biological process"	"57/129"	"3685/23973"	5.49991196417099e-15	6.23896263435647e-14	2.53285419402611e-15	"Aatk/Abcg1/Abl1/Abl2/Acadl/Acadvl/Asic2/Asic1/Ace/Macf1/Acp5/Chrna7/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvrl1/Adam10/Adam15/Adam17/Adam8/Adamts1/Adcy6/Adcyap1/Adcyap1r1/Add1/Add2/Adh7/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Aebp1/Aebp2/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Cd40lg/A2m/Atf7ip/Sap30/Mzb1"	57
"GO:1901566"	"organonitrogen compound biosynthetic process"	"23/129"	"516/23973"	5.66791087338842e-15	6.33062045243076e-14	2.57006484947167e-15	"Asl/Aanat/Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Angpt1/Paox"	23
"GO:0048731"	"system development"	"57/129"	"3692/23973"	5.9863641177319e-15	6.5850005295051e-14	2.67333644810994e-15	"Re/Asl/Aatk/Abi1/Abl1/Abl2/Acadm/Asic2/Ace/Acp2/Acp5/Chrna1/Chrna7/Chrnb2/Chrnd/Adipoq/Acta1/Actb/Actc1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam15/Adam17/Adam19/Adam22/Adam8/Adamts1/Adcy6/Adcyap1/Add1/Add2/Adm/Adnp/Adora2a/Adora2b/Adra1b/Adra1a/Adra2b/Adra2c/Adrb1/Adrb2/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Itga7/Cd40/Cd40lg/Taf10/Sap30"	57
"GO:0030814"	"regulation of cAMP metabolic process"	"13/129"	"98/23973"	6.237677537044e-15	6.7590356595432e-14	2.74399011841684e-15	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	13
"GO:0009187"	"cyclic nucleotide metabolic process"	"15/129"	"157/23973"	6.97276487766075e-15	7.44445191350251e-14	3.02225103056503e-15	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	15
"GO:0008217"	"regulation of blood pressure"	"15/129"	"160/23973"	9.26125937200847e-15	9.74445551315674e-14	3.95599179887471e-15	"Asic2/Ace/Chrna7/Adipoq/Acta2/Acvrl1/Adh5/Adora1/Adra1b/Adra1a/Adra1d/Adra2b/Adrb1/Adrb2/Adrb3"	15
"GO:0051240"	"positive regulation of multicellular organismal process"	"24/129"	"593/23973"	1.14296607580134e-14	1.18541910147396e-13	4.81248874021618e-15	"Chrna7/Adipoq/Acvr1/Acvr2a/Acvr2b/Adam17/Adam8/Adcyap1/Adk/Adm/Adora2a/Adora2b/Adora3/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Cd40/Cd40lg"	24
"GO:0007229"	"integrin-mediated signaling pathway"	"13/129"	"104/23973"	1.38203636080914e-14	1.41318084217948e-13	5.73714130506388e-15	"Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Itga7"	13
"GO:0050896"	"response to stimulus"	"85/129"	"7875/23973"	1.46720070928022e-14	1.47942738185756e-13	6.00608477483132e-15	"Ldlrap1/Asl/Aanat/Aatk/Abca1/Abca4/Abcg1/Abl1/Abl2/Acadm/Asic2/Asic1/Ace/Macf1/Aco1/Acp2/Acp5/Chrna4/Chrna7/Chrnb1/Chrnb2/Adipoq/Actb/Actg1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Adh1/Adh7/Adh5/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Ager/Angpt1/Angpt2/Ang/Cebpb/Itga7/Cenpj/Cd40/Cd40lg/A2m/Mzb1"	85
"GO:0009611"	"response to wounding"	"23/129"	"543/23973"	1.67153319098925e-14	1.66237410501123e-13	6.74880019433297e-15	"Asic2/Ace/Macf1/Acp5/Chrna7/Adipoq/Actb/Actg1/Acvrl1/Adam8/Adcyap1/Adm/Adora1/Adora2a/Adora2b/Adora3/Adra2a/Adra2c/Adrb1/Adrb2/Ager/Cd40lg/A2m"	23
"GO:0044237"	"cellular metabolic process"	"88/129"	"8441/23973"	2.15999856358784e-14	2.11913372589834e-13	8.60312372410519e-15	"Ldlrap1/Asl/Aanat/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Ace/Macf1/Aco1/Aco2/Acox1/Acp1/Acp2/Acp5/Chrna4/Chrna7/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Adh1/Adh7/Adh5/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adprh/Parp1/Parp2/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Aebp1/Aebp2/Aga/Acan/Ager/Angpt1/Ang/Cebpb/Dusp2/Paox/Cenpj/Cd40/Cd40lg/Taf10/Adh4/Cpsf4/Atf7ip/Sap30"	88
"GO:0051049"	"regulation of transport"	"34/129"	"1369/23973"	2.97666354737318e-14	2.88141031385724e-13	1.16977655195016e-14	"Ldlrap1/Abca1/Abca2/Abcg1/Abl1/Abl2/Asic2/Asic1/Ace/Chrna4/Chrna6/Chrna7/Chrnb2/Adipoq/Actn2/Acvr2a/Adam9/Adcyap1/Adcyap1r1/Add1/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra2a/Adrb1/Adrb2/Ager/Angpt1/Ang/Cd40/Cd40lg/Mzb1"	34
"GO:0065009"	"regulation of molecular function"	"41/129"	"2033/23973"	3.72499732088117e-14	3.55835270389438e-13	1.44459729895669e-14	"Ldlrap1/Pzp/Abi1/Abl1/Abl2/Asic2/Chrna7/Adipoq/Actn2/Acvr2a/Acvr2b/Adam15/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Adh7/Adnp/Adora1/Adora2a/Adora2b/Parp1/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40/A2m/Taf10"	41
"GO:0048522"	"positive regulation of cellular process"	"55/129"	"3612/23973"	4.39092916896658e-14	4.14001893073992e-13	1.68073843788195e-14	"Ldlrap1/Abca1/Abi1/Abl1/Abl2/Asic2/Ace/Macf1/Chrna4/Chrna6/Chrna7/Chrnb2/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Ager/Angpt1/Ang/Cebpb/Paox/Cenpj/Cd40/Cd40lg/Atf7ip/Mzb1"	55
"GO:0019220"	"regulation of phosphate metabolic process"	"36/129"	"1571/23973"	4.90751274423935e-14	4.51168889234391e-13	1.83162663456038e-14	"Abca1/Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40"	36
"GO:0023056"	"positive regulation of signaling"	"30/129"	"1062/23973"	4.92537239383518e-14	4.51168889234391e-13	1.83162663456038e-14	"Ldlrap1/Abl1/Abl2/Macf1/Chrna7/Chrnb2/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adcyap1/Adora1/Adora2a/Adora3/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1/Cenpj/Cd40"	30
"GO:0044281"	"small molecule metabolic process"	"43/129"	"2255/23973"	4.97155800809246e-14	4.51168889234391e-13	1.83162663456038e-14	"Ldlrap1/Asl/Abca1/Abca4/Abca2/Abcb7/Abcg1/Acadl/Acadm/Acadvl/Acads/Macf1/Aco1/Aco2/Acox1/Adipoq/Actc1/Aspa/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adh1/Adh7/Adh5/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Angpt1/Cd40/Adh4/Atf7ip"	43
"GO:0051174"	"regulation of phosphorus metabolic process"	"36/129"	"1576/23973"	5.39982666213409e-14	4.83984463791277e-13	1.96484920779408e-14	"Abca1/Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40"	36
"GO:0050789"	"regulation of biological process"	"96/129"	"10036/23973"	5.49041042764107e-14	4.86102191520416e-13	1.97344662354236e-14	"Ldlrap1/Pzp/Aatk/Abca1/Abca2/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Asic2/Asic1/Ace/Apoc4/Macf1/Aco1/Acox1/Acp5/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Adh7/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Aebp1/Aebp2/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Itga7/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Atf7ip/Sap30/Mzb1"	96
"GO:0010647"	"positive regulation of cell communication"	"30/129"	"1069/23973"	5.84207576328998e-14	5.11005663150425e-13	2.07454814676119e-14	"Ldlrap1/Abl1/Abl2/Macf1/Chrna7/Chrnb2/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adcyap1/Adora1/Adora2a/Adora3/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1/Cenpj/Cd40"	30
"GO:0009967"	"positive regulation of signal transduction"	"29/129"	"992/23973"	5.93734409131426e-14	5.13156167892161e-13	2.08327862853132e-14	"Ldlrap1/Abl1/Abl2/Macf1/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adcyap1/Adora1/Adora2a/Adora3/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1/Cenpj/Cd40"	29
"GO:0048583"	"regulation of response to stimulus"	"47/129"	"2711/23973"	7.165667813598e-14	6.12032333255547e-13	2.48468976818259e-14	"Ldlrap1/Abca1/Abl1/Abl2/Asic2/Ace/Macf1/Acp5/Chrna7/Chrnb2/Adipoq/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam17/Adam8/Adam9/Adcyap1/Adh7/Adk/Adm/Cfd/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Angpt2/Cenpj/Cd40/Cd40lg/A2m/Mzb1"	47
"GO:0043085"	"positive regulation of catalytic activity"	"28/129"	"928/23973"	8.03275719718305e-14	6.78114154087779e-13	2.75296452290239e-14	"Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr2b/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adnp/Adora1/Adora2a/Adora2b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1/Ang/Cd40"	28
"GO:0009893"	"positive regulation of metabolic process"	"43/129"	"2304/23973"	1.04655644473209e-13	8.733333090523e-13	3.54550277707183e-14	"Abca1/Abcg1/Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora1/Adora2a/Adora2b/Parp1/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cebpb/Paox/Cd40/Cd40lg/Atf7ip/Mzb1"	43
"GO:0019538"	"protein metabolic process"	"59/129"	"4208/23973"	1.16358866750337e-13	9.59960650690278e-13	3.89718692465243e-14	"Ldlrap1/Asl/Pzp/Aanat/Aatk/Abca1/Abcg1/Abi1/Abl1/Abl2/Ace/Aco1/Acp1/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam11/Adam12/Adam15/Adam17/Adam19/Adam2/Adam22/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcyap1/Add1/Adh5/Cfd/Adnp/Adora1/Adora2a/Adprh/Parp1/Parp2/Adra2a/Adra2b/Adra2c/Adrb2/Aebp1/Aga/Acan/Ager/Angpt1/Ang/Cebpb/Dusp2/Napsa/Cd40/A2m/Taf10"	59
"GO:0007610"	"behavior"	"24/129"	"670/23973"	1.62349710429547e-13	1.32433584013316e-12	5.37645404142792e-14	"Asl/Abl2/Asic1/Ace/Chrna4/Chrna7/Chrnb1/Chrnb2/Adam10/Adam17/Adam2/Adam22/Adcy8/Adcyap1/Adh1/Adnp/Adora1/Adora2a/Adra1b/Adrb1/Adrb2/Adrb3/Ager/Angpt2"	24
"GO:0031281"	"positive regulation of cyclase activity"	"9/129"	"35/23973"	1.78796374044564e-13	1.44229075062615e-12	5.85531985175182e-14	"Adcy6/Adcy7/Adcy9/Adcyap1/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	9
"GO:0001934"	"positive regulation of protein phosphorylation"	"22/129"	"564/23973"	3.45873030836419e-13	2.75938264161802e-12	1.120236537122e-13	"Abi1/Abl1/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcyap1/Adnp/Adora1/Adra2a/Adra2b/Adra2c/Ager/Angpt1/Ang/Cd40"	22
"GO:0051349"	"positive regulation of lyase activity"	"9/129"	"38/23973"	4.07233036557568e-13	3.21359983196516e-12	1.30463673039038e-13	"Adcy6/Adcy7/Adcy9/Adcyap1/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	9
"GO:0044765"	"single-organism transport"	"48/129"	"2960/23973"	4.24266011812397e-13	3.3120120922129e-12	1.34458951112022e-13	"Ldlrap1/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abl1/Abl2/Asic2/Asic1/Ace/Apoc4/Macf1/Aco1/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Actn2/Acvr2a/Acvr2b/Adam9/Adcyap1/Adcyap1r1/Add2/Plin2/Adm/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra1a/Adra2a/Adrb1/Adrb2/Ager/Angpt1/Ang/Cd40/Cd40lg/Mzb1"	48
"GO:0001993"	"regulation of systemic arterial blood pressure by norepinephrine-epinephrine"	"6/129"	"8/23973"	5.99200215667148e-13	4.6278654954718e-12	1.87879126972902e-13	"Adra1b/Adra1a/Adra1d/Adrb1/Adrb2/Adrb3"	6
"GO:0050794"	"regulation of cellular process"	"91/129"	"9440/23973"	6.7194399339066e-13	5.1350667284381e-12	2.08470158614277e-13	"Ldlrap1/Aatk/Abca1/Abca2/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Asic2/Asic1/Ace/Macf1/Aco1/Acp5/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Adh7/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Aebp1/Aebp2/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Itga7/Paox/Cenpj/Cd40/Cd40lg/Taf10/Atf7ip/Sap30/Mzb1"	91
